Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC001 - Verify_5DayForecast_Response,,,,08-05-2025 07:58:27,08-05-2025 07:58:31,3.808s,PASSED
,,,,,,,
Test Cases/Verify_5DayForecast_Response,,,,08-05-2025 07:58:27,08-05-2025 07:58:31,3.550s,PASSED
"response = sendRequest(findTestObject(""forecast weather jakarta""))",,,,08-05-2025 07:58:28,08-05-2025 07:58:30,2.639s,PASSED
println(response),,,,08-05-2025 07:58:30,08-05-2025 07:58:30,0.012s,PASSED
"verifyResponseStatusCode(response, 200)",,,,08-05-2025 07:58:30,08-05-2025 07:58:30,0.028s,PASSED
"logInfo(""Status code is 200 OK"")",,,,08-05-2025 07:58:30,08-05-2025 07:58:30,0.036s,PASSED
"verifyElementPropertyValue(response, ""city.name"", ""Jakarta"")",,,,08-05-2025 07:58:30,08-05-2025 07:58:30,0.136s,PASSED
"expectedSchema = ""
{
""$schema"": ""http://json-schema.org/draft-07/schema#"",
""type"": ""object"",
""properties"": {
  ""cod"": {
	""type"": ""string""
  },
  ""message"": {
	""type"": ""number""
  },
  ""cnt"": {
	""type"": ""number""
  },
  ""list"": {
	""type"": ""array"",
	""items"": {
	  ""type"": ""object"",
	  ""properties"": {
		""dt"": {
		  ""type"": ""number""
		},
		""main"": {
		  ""type"": ""object"",
		  ""properties"": {
			""temp"": {
			  ""type"": ""number""
			},
			""feels_like"": {
			  ""type"": ""number""
			},
			""temp_min"": {
			  ""type"": ""number""
			},
			""temp_max"": {
			  ""type"": ""number""
			},
			""pressure"": {
			  ""type"": ""number""
			},
			""sea_level"": {
			  ""type"": ""number""
			},
			""grnd_level"": {
			  ""type"": ""number""
			},
			""humidity"": {
			  ""type"": ""number""
			},
			""temp_kf"": {
			  ""type"": ""number""
			}
		  },
		  ""required"": [
			""temp"",
			""feels_like"",
			""temp_min"",
			""temp_max"",
			""pressure"",
			""sea_level"",
			""grnd_level"",
			""humidity"",
			""temp_kf""
		  ]
		},
		""weather"": {
		  ""type"": ""array"",
		  ""items"": {
			""type"": ""object"",
			""properties"": {
			  ""id"": {
				""type"": ""number""
			  },
			  ""main"": {
				""type"": ""string""
			  },
			  ""description"": {
				""type"": ""string""
			  },
			  ""icon"": {
				""type"": ""string""
			  }
			},
			""required"": [
			  ""id"",
			  ""main"",
			  ""description"",
			  ""icon""
			]
		  }
		},
		""clouds"": {
		  ""type"": ""object"",
		  ""properties"": {
			""all"": {
			  ""type"": ""number""
			}
		  },
		  ""required"": [
			""all""
		  ]
		},
		""wind"": {
		  ""type"": ""object"",
		  ""properties"": {
			""speed"": {
			  ""type"": ""number""
			},
			""deg"": {
			  ""type"": ""number""
			},
			""gust"": {
			  ""type"": ""number""
			}
		  },
		  ""required"": [
			""speed"",
			""deg"",
			""gust""
		  ]
		},
		""visibility"": {
		  ""type"": ""number""
		},
		""pop"": {
		  ""type"": ""number""
		},
		""sys"": {
		  ""type"": ""object"",
		  ""properties"": {
			""pod"": {
			  ""type"": ""string""
			}
		  },
		  ""required"": [
			""pod""
		  ]
		},
		""dt_txt"": {
		  ""type"": ""string""
		},
		""rain"": {
		  ""type"": ""object"",
		  ""properties"": {
			""3h"": {
			  ""type"": ""number""
			}
		  },
		  ""required"": [
			""3h""
		  ]
		}
	  },
	  ""required"": [
		""dt"",
		""main"",
		""weather"",
		""clouds"",
		""wind"",
		""visibility"",
		""pop"",
		""sys"",
		""dt_txt""
	  ]
	}
  },
  ""city"": {
	""type"": ""object"",
	""properties"": {
	  ""id"": {
		""type"": ""number""
	  },
	  ""name"": {
		""type"": ""string""
	  },
	  ""coord"": {
		""type"": ""object"",
		""properties"": {
		  ""lat"": {
			""type"": ""number""
		  },
		  ""lon"": {
			""type"": ""number""
		  }
		},
		""required"": [
		  ""lat"",
		  ""lon""
		]
	  },
	  ""country"": {
		""type"": ""string""
	  },
	  ""population"": {
		""type"": ""number""
	  },
	  ""timezone"": {
		""type"": ""number""
	  },
	  ""sunrise"": {
		""type"": ""number""
	  },
	  ""sunset"": {
		""type"": ""number""
	  }
	},
	""required"": [
	  ""id"",
	  ""name"",
	  ""coord"",
	  ""country"",
	  ""population"",
	  ""timezone"",
	  ""sunrise"",
	  ""sunset""
	]
  }
},
""required"": [
  ""cod"",
  ""message"",
  ""cnt"",
  ""list"",
  ""city""
]
}
""",,,,08-05-2025 07:58:30,08-05-2025 07:58:30,0.008s,PASSED
"validateJsonAgainstSchema(response, expectedSchema)",,,,08-05-2025 07:58:30,08-05-2025 07:58:31,0.220s,PASSED
